autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
Joey Carlino,Character animation for impatient people - Blender Tutorial,https://www.youtube.com/watch?v=GAIZkIfXXjQ,"Beginner Guides (Beginner Guides, 3D Animation & Motion)",1902386,2023-08-10,12:49,769,-37.8,5.12,-14.01,,
Polyfjord,Tutorial: Making a Mechanical Walking Creature in Blender,https://www.youtube.com/watch?v=ktXD_WRMY8E,"3D Modeling & Sculpting (3D Modeling & Sculpting, Cycles & EEVEE Rendering, Character Rigging)",1777987,2023-08-10,54:34,3274,50.38,-74.2,33.89,,
Blender Guru,Beginner Blender Tutorial (2026),https://www.youtube.com/watch?v=z-Xl9tGqH14,Beginner Guides (Beginner Guides),1733865,2026-02-10,04:19:10,15550,24.26,35.44,4.04,,
YanSculpts,Digital Sculpting is AMAZING! Modeling Vi in Blender - Arcane,https://www.youtube.com/watch?v=o-lHNy0DoiQ,3D Modeling & Sculpting (3D Modeling & Sculpting),1714724,2022-08-10,13:33,813,15.72,-98.07,52.26,,
Ryan King Art,Sculpting with Blender For Beginners (Tutorial),https://www.youtube.com/watch?v=VYuUlQO-kYE,"Beginner Guides (Beginner Guides, 3D Modeling & Sculpting)",1672463,2021-08-10,36:11,2171,101.09,40.09,10.56,,
Just Tis Arts,The only head sculpting tutorial you will ever need ! Blender ( From beginner to pro ! ),https://www.youtube.com/watch?v=3Dw8FwCi5aY,"Beginner Guides (Beginner Guides, 3D Modeling & Sculpting)",1640756,2021-08-10,01:34:28,5668,101.33,29.77,17.3,,
Blender Guru,Beginner Blender 4.0 Tutorial - Part 6: Geometry Nodes,https://www.youtube.com/watch?v=TLrA6eJOfqk,"Beginner Guides (Beginner Guides, Geometry Nodes)",1633795,2024-08-09,24:20,1460,-35.53,30.13,50.4,,
Cody Gindy,Making 3D animation look painterly (it's easier than you think),https://www.youtube.com/watch?v=s8N00rjil_4,3D Animation & Motion (3D Animation & Motion),1580541,2024-08-09,08:04,484,-60.18,14.0,-35.97,,
Grant Abbitt (Gabbitt),Texture Painting - Quick Start Guide - Blender,https://www.youtube.com/watch?v=WjS_zNQNVlw,"Beginner Guides (Beginner Guides, 3D Modeling & Sculpting, Shading, Texturing & UVs)",1533169,2022-08-10,03:28,208,63.61,49.55,71.79,,
Keelan Jon,Blender Sculpting Tutorial for Beginners - Stylized Head Sculpt Blender Tutorial,https://www.youtube.com/watch?v=HJSGoKbNBnQ,"Beginner Guides (Beginner Guides, 3D Modeling & Sculpting)",1529936,2023-08-10,27:18,1638,108.53,32.12,15.34,,
Keelan Jon,How to make a Character in Blender - My Full Process in 10 Minutes,https://www.youtube.com/watch?v=TumrA0XsX0A,Beginner Guides (Beginner Guides),1517027,2024-08-09,10:07,607,32.5,43.66,22.7,,
Joey Carlino,Rigging for impatient people - Blender Tutorial,https://www.youtube.com/watch?v=DDeB4tDVCGY,Character Rigging (Character Rigging),1511997,2023-08-10,10:02,602,-45.9,-50.63,-4.03,,
Arsalan Has Naan,How to Animate EVERYTHING with Absolute Shapes Keys,https://www.youtube.com/watch?v=tE1peGgIh98,"Character Rigging (Character Rigging, 3D Animation & Motion)",1501900,2023-08-10,03:34,214,-59.31,-31.27,-4.02,,
Blender Academy,Blender Tutorial – How to Use AI to Create 3D Models (ChatGPT and Blender),https://www.youtube.com/watch?v=x60zHw_z4NM,Beginner Guides (Beginner Guides),1445724,2023-08-10,09:54,594,42.74,44.26,-19.18,,
Joey Carlino,Character modeling for beginners - Blender,https://www.youtube.com/watch?v=O6HQhs-gk50,3D Modeling & Sculpting (3D Modeling & Sculpting),1402550,2024-08-09,48:02,2882,37.34,-94.55,42.51,,
The Goose Tavern,How I made this 2D+3D animation in Blender,https://www.youtube.com/watch?v=Csy6Vd33cYI,"3D Animation & Motion (3D Animation & Motion, Physics & Simulation)",1376572,2024-08-09,17:29,1049,-54.16,8.18,-49.33,,
RoBuilder,ABSOLUTE Beginner Basics.. Blender For Noobs 2025,https://www.youtube.com/watch?v=peSv5IT5Ve4,Beginner Guides (Beginner Guides),1309462,2025-09-13,08:27,507,33.1,67.04,19.35,,
CG Fast Track,Blender Beginner Tutorial - Part 1,https://www.youtube.com/watch?v=98qKfdJRzr0,Beginner Guides (Beginner Guides),1276772,2024-08-09,39:58,2398,30.44,52.94,0.51,,
Kaizen,How to Create Professional Materials,https://www.youtube.com/watch?v=-x-b2U-MSgc,"Shading, Texturing & UVs (Shading, Texturing & UVs)",1273410,2023-08-10,11:23,683,58.89,36.89,103.93,,
Eve Sculpts,Blender Tutorial - 2D Drawing to 3D Model (Part 1),https://www.youtube.com/watch?v=AlPPYkZg9D4,Beginner Guides (Beginner Guides),1244433,2022-08-10,25:55,1555,45.17,70.56,-0.7,,
Blender Guru,How to Tile a Texture Without Repetition - Blender Tutorial,https://www.youtube.com/watch?v=-VgtSL5ZpYc,"Shading, Texturing & UVs (Shading, Texturing & UVs)",1231826,2020-08-10,22:20,1340,66.16,31.86,112.94,,
Brad Colbow,10 Tools Every Blender Noob Should Learn,https://www.youtube.com/watch?v=KfSQh2dFCik,Beginner Guides (Beginner Guides),1220325,2023-08-10,09:44,584,25.2,43.05,14.06,,
tutor4u,Blender 2.8 Beginner Textures and Materials Tutorial,https://www.youtube.com/watch?v=fZSD7pVIUkY,"Beginner Guides (Beginner Guides, Shading, Texturing & UVs)",1178454,2019-08-11,17:53,1073,49.95,36.26,75.35,,
Bran Sculpts,Blocking Out - Blender Character Sculpt Tutorial part 1,https://www.youtube.com/watch?v=J2_uiUEcY7w,"Beginner Guides (Beginner Guides, 3D Modeling & Sculpting)",1129047,2023-08-10,35:48,2148,106.39,39.25,6.2,,
Doodley,"3D Rigging is Beautiful, Here's How It Works!",https://www.youtube.com/watch?v=3RSwjZLClRc,"Character Rigging (Character Rigging, 3D Animation & Motion)",1065991,2024-08-09,13:44,824,-51.08,-36.6,-7.45,,
Critical Giants,Simple Rigging In Blender,https://www.youtube.com/watch?v=EVBseo4YLa4,Character Rigging (Character Rigging),1035804,2022-08-10,07:06,426,-51.26,-51.67,0.26,,
Polyfjord,Tutorial: My New Rigging Workflow in Blender,https://www.youtube.com/watch?v=BiPoPMnU2VI,Character Rigging (Character Rigging),1004981,2023-08-10,12:38,758,-56.24,-51.8,-3.28,,
Blender Guru,How to Make Studio Lighting in Blender,https://www.youtube.com/watch?v=5UCc3Z_-ibs,Lighting & Environment (Lighting & Environment),987416,2020-08-10,23:55,1435,74.01,-29.51,-48.01,,
Blender Guru,Blender Tutorial: Geometry Nodes for Beginners - Part 1,https://www.youtube.com/watch?v=aO0eUnu0hO0,Geometry Nodes (Geometry Nodes),959683,2022-08-10,14:07,847,-87.38,85.31,56.06,,
Blender Guru,Blender Donut Tutorial Part 1 (2026),https://www.youtube.com/watch?v=-tbSCMbJA6o,Beginner Guides (Beginner Guides),955733,2025-12-12,28:29,1709,23.84,32.17,-1.0,,
Crashsune Academy,Blender Low Poly Character Modeling Tutorial - Part 1,https://www.youtube.com/watch?v=Use9T2IX1XE,3D Modeling & Sculpting (3D Modeling & Sculpting),933199,2024-08-09,14:00,840,28.47,-95.61,36.46,,
