autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,latent_x,latent_y,latent_z
Dom Designs,Adobe Illustrator Tutorial: Create a Vector Logo from a Sketch in 2024!,https://www.youtube.com/watch?v=8kz0bZQDm60,"Vector Illustration & Drawing (Vector Illustration & Drawing, Logo Design & Branding)",1083307,2021-08-10,0.45,32.15,115.38
Bring Your Own Laptop,Free Adobe Illustrator Advanced Tutorial,https://www.youtube.com/watch?v=DF4P0cjStkM,Beginner Guides (Beginner Guides),1057599,2021-08-10,41.59,17.73,-22.42
davidmartimar,👶 Adobe ILLUSTRATOR Basic Spanish Tutorial from Scratch 2025 🤴,https://www.youtube.com/watch?v=R3EBeCI0GJE,"Beginner Guides (Beginner Guides, Shape Builder & Pathfinder)",1034959,2020-08-10,55.39,-39.76,-19.36
Bring Your Own Laptop,Adobe Illustrator Tutorial for Beginners,https://www.youtube.com/watch?v=r9gaPGQ1EG0,Beginner Guides (Beginner Guides),987783,2024-08-09,56.57,8.91,7.62
Bring Your Own Laptop,Free Adobe Illustrator Tutorial Course for Beginners,https://www.youtube.com/watch?v=j7PEuMumhMs,Beginner Guides (Beginner Guides),930040,2021-08-10,44.66,-0.78,-11.81
Vector Slate | Graphic Design Tutorials,Type Design | Illustrator Text Effect Tutorial,https://www.youtube.com/watch?v=F5QeoXNdk7A,Typography & Text Effects (Typography & Text Effects),896185,2017-08-11,-26.93,72.76,4.67
Design Made Simple,Illustrator Beginner Tutorial: Simple Letter Logos,https://www.youtube.com/watch?v=ymBosZVeRc8,Beginner Guides (Beginner Guides),861155,2018-08-11,79.08,39.58,20.6
P A N T E R,How To Make 3D Distorted Graffiti Bubble Text In Illustrator,https://www.youtube.com/watch?v=uDidXWIf2Fk,"Typography & Text Effects (Typography & Text Effects, 3D & Inflation Effects)",858584,2024-08-09,-76.93,19.51,37.65
Satori Graphics,🔸 The ONLY Colour Theory Video You Ever Need To Watch!,https://www.youtube.com/watch?v=HKtTNOgfhAU,Beginner Guides (Beginner Guides),833425,2023-08-10,65.48,93.49,16.51
Andy Tells Things,How to Use the Pen Tool in Adobe Illustrator,https://www.youtube.com/watch?v=Rk-JGsriJ4o,Pen Tool & Precise Paths (Pen Tool & Precise Paths),802024,2023-08-10,56.87,-82.17,29.4
Graphic Hunters,Easy Grid Logo Design Process On Same Lines | Adobe Illustrator Tutorial,https://www.youtube.com/watch?v=zGHpWjqd7gc,Logo Design & Branding (Logo Design & Branding),787962,2024-08-09,-22.27,-38.56,-94.6
Satori Graphics,FULL 1 Hour Logo Design Course (Everything You Need To Know),https://www.youtube.com/watch?v=l9_BM1opTj8,Logo Design & Branding (Logo Design & Branding),760873,2024-08-09,15.78,-9.34,-59.37
Design Academy,"Packaging Design in Adobe Illustrator | How To Create Die Cut Lines,  Creasing Lines, Bleed Area",https://www.youtube.com/watch?v=RQ6vnnZyXWY,Packaging & Label Design (Packaging & Label Design),749616,2021-08-10,-111.16,-34.63,-41.19
Mind Island Design,Vectorize Image in Illustrator,https://www.youtube.com/watch?v=3p--TZhRV40,Beginner Guides (Beginner Guides),746012,2020-08-10,83.25,-8.23,-7.92
Dansky,10 MUST-KNOW Tools for LOGO DESIGN in Illustrator,https://www.youtube.com/watch?v=_0lLWSwfmX8,Logo Design & Branding (Logo Design & Branding),733273,2021-08-10,32.42,-22.26,-53.69
Dansky,30 Illustrator Secrets Graphic Designers MUST KNOW!,https://www.youtube.com/watch?v=Q0QOqJvhRm4,Beginner Guides (Beginner Guides),682685,2023-08-10,60.39,72.26,-6.75
Graphic Island,Product Packaging Design In Illustrator | How to create print ready die cut lines and bleed section,https://www.youtube.com/watch?v=_pwAK9vJ5YU,Packaging & Label Design (Packaging & Label Design),608750,2022-08-10,-93.67,-34.69,-31.59
edgykatrina,how to use adobe illustrator | a beginner-friendly graphic design tutorial / design posters with me,https://www.youtube.com/watch?v=OCnQ0i3svdI,Beginner Guides (Beginner Guides),603945,2024-08-09,17.86,44.82,-37.17
creatnprocess,Wave Text Effect in Adobe Illustrator | Make with Mesh & Transform | Graphic design,https://www.youtube.com/watch?v=H9z1OlXQqYo,Typography & Text Effects (Typography & Text Effects),579276,2021-08-10,-30.99,41.97,12.65
Dansky,Golden Ratio Logo Design in Illustrator,https://www.youtube.com/watch?v=gNn6U-v-pxY,Logo Design & Branding (Logo Design & Branding),574045,2018-08-11,-15.82,-55.31,-77.78
Nataszko,EASY Character Illustration in Adobe Illustrator! 🎨 #illustrator #digitalart #illustration,https://www.youtube.com/watch?v=IsF29OzFfZQ,"Beginner Guides (Beginner Guides, Vector Illustration & Drawing)",562168,2023-08-10,0.5,-20.18,16.55
Flux Academy,Adobe Illustrator Crash Course (for complete beginners),https://www.youtube.com/watch?v=n_-ygXZUq3U,Beginner Guides (Beginner Guides),561216,2023-08-10,52.88,-17.11,-6.0
Spoon Graphics,How to Create a Vintage Text Effect in Adobe Illustrator,https://www.youtube.com/watch?v=tEgx-yjP9tQ,Typography & Text Effects (Typography & Text Effects),557372,2020-08-10,-60.18,61.71,-6.78
Always Creating,Liquid Text Effect - Adobe Illustrator & Photoshop CC Tutorial (2020),https://www.youtube.com/watch?v=7KzRm_W-wtk,Typography & Text Effects (Typography & Text Effects),520114,2020-08-10,-55.92,94.77,8.64
Matt Borchert,Getting Started with Adobe Illustrator for Beginners Tutorial,https://www.youtube.com/watch?v=AinkCNooh2A,Beginner Guides (Beginner Guides),515287,2020-08-10,56.37,-6.72,15.07
Michael Lubrin (dayswithmike),Product Packaging Design (Full Process) + 3D Mockups,https://www.youtube.com/watch?v=AId5PFZf1Sg,"3D & Inflation Effects (3D & Inflation Effects, Packaging & Label Design)",509515,2023-08-10,-77.67,-46.67,-0.56
Andy Tells Things,All 20+ Effects in Adobe Illustrator Explained,https://www.youtube.com/watch?v=XeQo6fT0n_o,Beginner Guides (Beginner Guides),494760,2023-08-10,81.49,20.94,-42.38
Spoon Graphics,How To Create Typography Illustrations the Easy Way with Adobe Illustrator,https://www.youtube.com/watch?v=Nmsrhm7-BQ0,Typography & Text Effects (Typography & Text Effects),491817,2015-08-12,-37.1,102.27,24.5
Envato Tuts+,Advanced Adobe Illustrator Tutorial | FREE COURSE,https://www.youtube.com/watch?v=4xYHloidI8M,Beginner Guides (Beginner Guides),459336,2023-08-10,40.66,5.91,-27.78
Abi Connick,How to create a Product Packaging Design,https://www.youtube.com/watch?v=L5jOi9und4Q,Packaging & Label Design (Packaging & Label Design),446439,2022-08-10,-79.55,-21.49,-37.91
XUYU Design Tutorials,Lines Wave Style Poster Graphic Design Tutorial With Adobe Illustrator || Adobe Illustrator Tutorial,https://www.youtube.com/watch?v=Gy0J6pYJ0l0,Beginner Guides (Beginner Guides),436487,2022-08-10,37.0,34.43,-49.91
Alice Thorpe Designs,How To Make A Vector Portrait | Using Adobe Illustrator cc,https://www.youtube.com/watch?v=plaNq84wUVA,Vector Illustration & Drawing (Vector Illustration & Drawing),436399,2019-08-11,-7.39,-47.31,89.13
edgykatrina,how to be a graphic designer in 2026 (free resources & my best advice),https://www.youtube.com/watch?v=G9ANVduvyWs,Beginner Guides (Beginner Guides),415883,2025-08-09,28.46,75.78,24.06
TheVectorLab,Convert Drawings Into VECTOR Graphics • Illustrator & Procreate Tutorial,https://www.youtube.com/watch?v=iJ9YwdMncv0,Vector Illustration & Drawing (Vector Illustration & Drawing),415398,2021-08-10,12.56,-3.94,55.72
