autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,latent_x,latent_y,latent_z
Zunayed Sabbir Ahmed and All About Stage Shows!,MadMapper Projection Mapping – In-Depth Full Tutorial | VJ Tips,https://www.youtube.com/watch?v=ytwvo7xBfDs,3D Projection Mapping & Calibration (3D Projection Mapping & Calibration),40668,2025-10-13,27.19,12.94,59.14
MadMapper The Mapping Software,Scenes: basics #1— MADTutorial Scenes and Cues,https://www.youtube.com/watch?v=0QS-tww2YEM,Beginner Guides (Beginner Guides),36094,2019-08-11,96.75,-53.68,-96.58
MadMapper The Mapping Software,Background Image Video Mapping — MADTutorial Advanced,https://www.youtube.com/watch?v=2naTN0JVPio,Beginner Guides (Beginner Guides),34640,2017-08-11,91.61,6.55,4.12
LED Strip Studio,LED pixel mapping in MADRIX using ArtNet and SPI Matrix,https://www.youtube.com/watch?v=XgcacEocLjw,"LED Strip Pixel Mapping (LED Strip Pixel Mapping, DMX & ArtNet Lighting Output)",34564,2021-08-10,-78.33,-45.33,17.73
MadMapper The Mapping Software,MeshWarping -- MADTutorial Advanced,https://www.youtube.com/watch?v=zVZXT0oiZYU,"Surface Creation & Masking (Surface Creation & Masking, 3D Projection Mapping & Calibration)",34202,2017-08-11,15.01,-103.47,51.19
reflekkt,Projection Mapping with KantanMapper - TouchDesigner Tutorial,https://www.youtube.com/watch?v=QBEtbXtCIcU,3D Projection Mapping & Calibration (3D Projection Mapping & Calibration),32635,2025-08-09,-9.99,-5.95,92.61
Joshua Wolk,Projection Mapping Tutorial for Beginners (Free!),https://www.youtube.com/watch?v=y5e5CjNXA9g,3D Projection Mapping & Calibration (3D Projection Mapping & Calibration),31363,2026-01-11,13.02,2.31,102.99
Yoshe Li,TouchDesigner Tutorial: Projection Mapping with Kantan Mapper,https://www.youtube.com/watch?v=E1YMSPLVws0,3D Projection Mapping & Calibration (3D Projection Mapping & Calibration),31242,2024-08-09,-28.68,-4.4,81.96
Wicked Lasers,LaserCube and Resolume - TUTORIAL,https://www.youtube.com/watch?v=lhrokW5nF0s,Beginner Guides (Beginner Guides),29182,2022-08-10,4.18,-6.24,-56.96
MadMapper The Mapping Software,Quickstart / MadLaser,https://www.youtube.com/watch?v=3pt_nI-0lv8,Laser Control & Hardware (Laser Control & Hardware),29045,2022-08-10,-31.92,-88.62,-22.67
MadMapper The Mapping Software,One LED bar - MADTutorial Basics,https://www.youtube.com/watch?v=PtPelZJ1Nyc,"Beginner Guides (Beginner Guides, LED Strip Pixel Mapping)",27163,2018-08-11,69.44,39.35,21.87
MadMapper The Mapping Software,Soft Edge — Advanced  MADTutorial,https://www.youtube.com/watch?v=kR1fVI4wM2k,Surface Creation & Masking (Surface Creation & Masking),26469,2017-08-11,-5.22,-110.12,46.92
MadMapper The Mapping Software,3D Calibration - MADTutorial Advanced,https://www.youtube.com/watch?v=YblkYxNtGnE,3D Projection Mapping & Calibration (3D Projection Mapping & Calibration),26289,2018-08-11,-14.42,-2.69,35.38
MadMapper The Mapping Software,MadMapper 5 / How to authorize/deauthorize,https://www.youtube.com/watch?v=IujhgLddzr8,Beginner Guides (Beginner Guides),25585,2022-08-10,66.0,-30.53,-8.88
Bichi Soul,Introducción al Video Mapping con Madmapper - Principiantes,https://www.youtube.com/watch?v=UFSxJX3QjN0,Beginner Guides (Beginner Guides),25560,2020-08-10,45.02,-14.38,-18.76
Silesia Lasers,Playing with MadMapper and 3 x LaserCube 7.5W Ultra! 🤯,https://www.youtube.com/watch?v=LiqxwhKEQkI,Beginner Guides (Beginner Guides),25157,2023-08-10,-5.78,-27.47,-51.29
MadMapper The Mapping Software,Bezier Masking / MadMapper 4,https://www.youtube.com/watch?v=ow398X-pg20,Surface Creation & Masking (Surface Creation & Masking),24803,2020-08-10,3.13,-73.81,37.48
MadMapper The Mapping Software,LED Scanner - MADTutorial Basics,https://www.youtube.com/watch?v=CE_jI_wb9cI,"Beginner Guides (Beginner Guides, Spatial Scanner 3D Reconstruction, LED Strip Pixel Mapping)",24645,2018-08-11,45.65,73.67,-5.48
Phillip Andrews,madmapper 8 presets,https://www.youtube.com/watch?v=JZJJHCXq5z8,3D Projection Mapping & Calibration (3D Projection Mapping & Calibration),24313,2012-08-12,-8.05,-17.68,52.32
Luma Box,Round Cake Projection Mapping MadMapper Tutorial,https://www.youtube.com/watch?v=kLqN4vGdVzE,3D Projection Mapping & Calibration (3D Projection Mapping & Calibration),23855,2020-08-10,5.51,25.58,87.75
MadMapper The Mapping Software,Blend Modes — MADTutorial Basics,https://www.youtube.com/watch?v=tJhidyoONIs,Beginner Guides (Beginner Guides),23441,2017-08-11,65.27,33.38,-17.15
MadMapper The Mapping Software,Soft Edge — MADTutorial Basics,https://www.youtube.com/watch?v=kwct3cdL6Cw,Beginner Guides (Beginner Guides),23393,2017-08-11,54.97,44.67,-42.04
Aoshow led,How to connection Madmapper- DMX Artnet Box- Power-DMX512 360 LED Pixel Tube with DMX/T/Extend Cable,https://www.youtube.com/watch?v=DU5-q9Wgrss,"LED Strip Pixel Mapping (LED Strip Pixel Mapping, DMX & ArtNet Lighting Output)",23363,2021-08-10,-104.15,-53.13,-39.9
Luma Box,Cake Mapping with MadMapper Beginner’s Tutorial,https://www.youtube.com/watch?v=6Cv7g6xjpPs,"Beginner Guides (Beginner Guides, 3D Projection Mapping & Calibration)",23362,2020-08-10,72.2,-11.58,29.64
Benjamin Kuperberg,Spout [Syphon for Windows] Unity to Resolume Plugin Demo,https://www.youtube.com/watch?v=r-QcMU_uwYA,"Syphon, Spout & NDI Video Routing (Syphon, Spout & NDI Video Routing)",22725,2014-08-12,-19.35,76.03,75.22
