autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
The Interactive & Immersive HQ,Creating Your First Vertex Shader in TouchDesigner,https://www.youtube.com/watch?v=tOcH3wtaU5Q,GLSL & Shader Programming (GLSL & Shader Programming),1470,2026-04-11,27:09,1629,-59.27,-0.24,-104.83,,
SARV,Audio Reactive TUTORIAL - Spectral Network,https://www.youtube.com/watch?v=1xBqRqF0DKI,Audio Reactivity (Audio Reactivity),1460,2026-07-10,01:12:36,4356,55.53,-109.1,-54.06,,
The Interactive & Immersive HQ,Using the Logger COMP in TouchDesigner - TouchDesigner Tutorial 155,https://www.youtube.com/watch?v=Koi1g0W5fgY,Core Fundamentals (Core Fundamentals),1446,2024-08-09,28:18,1698,-68.44,43.87,-22.66,,
Ruben Papacci,Vectorising Instances for TOPs and POPs (re_vec),https://www.youtube.com/watch?v=RscIbcy9QQA,Core Fundamentals (Core Fundamentals),1445,2025-08-09,49:29,2969,-80.99,43.16,-26.49,,
Okamirufu Vizualizer,TouchDesigner Tutorial: Build Procedural Geometry Arrays with CHOP Logic (Easy),https://www.youtube.com/watch?v=f25Fvc6Sy3M,"Core Fundamentals (Core Fundamentals, 3D & Geometry (SOPs))",1339,2026-03-12,06:57,417,-99.57,69.98,7.84,,
paketa12,UV partitions in TouchDesigner,https://www.youtube.com/watch?v=NRr4uk7WVPY,Beginner Guides (Beginner Guides),1337,2025-09-13,10:23,623,67.92,31.64,5.42,,
jack dilaura,TouchDesigner Spirograph using CHOPs - Another TouchDesigner Tutorial,https://www.youtube.com/watch?v=CsB95fy4Kf8,Beginner Guides (Beginner Guides),1256,2021-08-10,23:59,1439,61.8,8.63,-43.22,,
Tolch Design,Geometria 3D simple - Tutorial Touchdesigner en español,https://www.youtube.com/watch?v=CH3el69rftU,3D & Geometry (SOPs) (3D & Geometry (SOPs)),1243,2018-08-11,02:40,160,-5.17,-5.78,115.27,,
paketa12,Verlet integration II with TouchDesigner,https://www.youtube.com/watch?v=GORDWzCpOLs,Beginner Guides (Beginner Guides),1185,2023-08-10,00:30,30,91.95,-22.26,0.12,,
sssynthomo,Interactive Particles with KINECT | #touchdesigner,https://www.youtube.com/watch?v=5FLRvU2g2hw,"Point Clouds & Instancing (Point Clouds & Instancing, Sensors & Tracking)",1178,2025-08-09,00:29,29,-98.73,-46.72,55.95,,
Coaction Lab,ART 371 Intro to Touch Designer part 1,https://www.youtube.com/watch?v=122P-THJwHw,"Beginner Guides (Beginner Guides, Generative Art)",1126,2021-08-10,26:34,1594,1.64,-31.89,-4.13,,
Akenbak,"TouchDesigner Tutorial 20 - Parametric Equations: Nephroid (CHOP's,TOP's & Python)",https://www.youtube.com/watch?v=PRy-1SdpxbI,"Core Fundamentals (Core Fundamentals, Python Scripting & System)",1107,2022-08-10,14:52,892,-36.89,63.02,-31.07,,
Pixorial,TouchDesigner Beginner Tutorial #1:  SOP Operators - Create your first shapes and EASY rendering,https://www.youtube.com/watch?v=6o5nbVkzw0g,"Beginner Guides (Beginner Guides, Core Fundamentals, 3D & Geometry (SOPs))",1102,2023-08-10,30:56,1856,32.1,-28.92,55.11,,
Maria Graterol,Geometry in oscillation,https://www.youtube.com/watch?v=cALkCG7ePzE,"Beginner Guides (Beginner Guides, Generative Art, 3D & Geometry (SOPs), Point Clouds & Instancing)",1100,2024-08-09,22:25,1345,-5.27,-18.68,36.48,,
Akenbak,"TouchDesigner Tutorial 8 - Parametric Equations: Eight Curve (CHOP's,TOP's & Python)",https://www.youtube.com/watch?v=7lXs_Imgz04,"Core Fundamentals (Core Fundamentals, Python Scripting & System)",1057,2021-08-10,18:31,1111,-36.84,62.16,-31.07,,
Scott Allen Visual Art,Rectangle SOP in TouchDesigner,https://www.youtube.com/watch?v=JwA8sFI7Z2I,"Core Fundamentals (Core Fundamentals, 3D & Geometry (SOPs))",1053,2023-08-10,00:43,43,-86.41,70.32,1.43,,
Pixorial,TouchDesigner Beginner Tutorial #5:  MAT - Make planet MARS to learn MATerial operators Step-by-Step,https://www.youtube.com/watch?v=V1fOWV9JKkc,"Beginner Guides (Beginner Guides, Core Fundamentals)",1035,2023-08-10,09:31,571,83.03,-24.01,41.74,,
Alex Czetwertynski,02_TouchDesigner 088 Parameter Referencing in Python,https://www.youtube.com/watch?v=8GHlf4AiP_Q,Python Scripting & System (Python Scripting & System),1025,2014-08-12,03:26,206,-5.31,62.03,-59.71,,
MxM,Basic Instancing in Touchdesigner Tutorial,https://www.youtube.com/watch?v=zxtd4O6oEOw,Point Clouds & Instancing (Point Clouds & Instancing),1013,2021-08-10,03:07,187,-100.57,-22.37,58.64,,
