autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
Brackeys,MAKE GAMES WITHOUT CODE! - Unity 3D Game Kit,https://www.youtube.com/watch?v=qsU4nM0L_n0,"C# Programming & Logic (C# Programming & Logic, 3D Physics & Raycasting)",1842963,2018-08-11,13:39,819,83.88,16.53,0.54,,
Brackeys,How many AI Agents can Unity handle?,https://www.youtube.com/watch?v=G9Otw12OUvE,Beginner Guides (Beginner Guides),1785238,2018-08-11,06:17,377,-81.14,-0.72,-3.17,,
Brackeys,MELEE COMBAT in Unity,https://www.youtube.com/watch?v=sPiVz1k-fEs,C# Programming & Logic (C# Programming & Logic),1749872,2020-08-10,21:06,1266,104.97,-25.98,18.32,,
Fireship,Godot in 100 Seconds,https://www.youtube.com/watch?v=QKgTZWbwD1U,"2D Physics & Movement (2D Physics & Movement, 3D Physics & Raycasting)",1720238,2023-08-10,02:40,160,31.05,80.96,22.84,,
Sebastian Lague,Coding Adventure: Boids,https://www.youtube.com/watch?v=bqtqltqcQhw,Beginner Guides (Beginner Guides),1715859,2020-08-10,08:35,515,-59.25,-8.87,37.14,,
Steven,Attempting to Learn 3D Game Development in One Week,https://www.youtube.com/watch?v=1mwNrMD0Lm0,"2D Physics & Movement (2D Physics & Movement, 3D Physics & Raycasting)",1707658,2020-08-10,11:10,670,22.15,67.02,30.6,,
Sebastian Lague,Coding Adventure: Terraforming,https://www.youtube.com/watch?v=vTMEdHcKgM4,Beginner Guides (Beginner Guides),1679358,2021-08-10,22:23,1343,-68.0,4.92,40.26,,
Brackeys,How many Rigidbodies can Unity support?,https://www.youtube.com/watch?v=8zo5a_QvJtk,3D Physics & Raycasting (3D Physics & Raycasting),1642815,2018-08-11,05:19,319,55.09,76.06,-54.49,,
Brackeys,THIRD PERSON MOVEMENT in Unity,https://www.youtube.com/watch?v=4HpC--2iowE,Beginner Guides (Beginner Guides),1603781,2020-08-10,21:05,1265,-42.68,-11.76,8.07,,
Sebastian Lague,Coding Adventure: Ray Tracing,https://www.youtube.com/watch?v=Qz0KTGYJtUk,Beginner Guides (Beginner Guides),1571737,2023-08-10,37:57,2277,-60.06,15.16,54.49,,
Dave / GameDevelopment,FIRST PERSON MOVEMENT in 10 MINUTES - Unity Tutorial,https://www.youtube.com/watch?v=f473C43s8nE,C# Programming & Logic (C# Programming & Logic),1535342,2022-08-10,09:58,598,107.12,-0.97,21.21,,
Fireship,Unity in 100 Seconds,https://www.youtube.com/watch?v=iqlH4okiQqg,Beginner Guides (Beginner Guides),1527792,2022-08-10,02:45,165,-56.4,-37.76,54.54,,
Sebastian Lague,Coding Adventure: Portals,https://www.youtube.com/watch?v=cWpFZbjtSQg,Beginner Guides (Beginner Guides),1483329,2020-08-10,16:06,966,-75.79,-10.77,50.42,,
Code Monkey,Learn Unity in 17 MINUTES! [2026 UPDATED PINNED COMMENT],https://www.youtube.com/watch?v=E6A4WvsDeLE,Beginner Guides (Beginner Guides),1415529,2020-08-10,17:27,1047,-27.65,22.55,-104.5,,
Brackeys,How to make Terrain in Unity!,https://www.youtube.com/watch?v=MWQv2Bagwgk,Beginner Guides (Beginner Guides),1391837,2019-08-11,14:42,882,-20.87,20.17,-17.15,,
Brackeys,LIGHTING in Unity,https://www.youtube.com/watch?v=VnG2gOKV9dw,URP & Lighting Setup (URP & Lighting Setup),1354170,2018-08-11,16:13,973,0.44,-66.41,-79.28,,
Brackeys,2D Shooting in Unity (Tutorial),https://www.youtube.com/watch?v=wkKsl1Mfp5M,2D Physics & Movement (2D Physics & Movement),1347701,2019-08-11,21:11,1271,5.39,96.86,47.16,,
Sebastian Lague,Coding Adventure: Atmosphere,https://www.youtube.com/watch?v=DxfEbulyFcY,Beginner Guides (Beginner Guides),1333758,2021-08-10,22:00,1320,-51.16,5.28,39.55,,
Sebastian Lague,My First 10 Years of Game Development,https://www.youtube.com/watch?v=egukLtEhyP0,3D Physics & Raycasting (3D Physics & Raycasting),1323311,2020-08-10,11:24,684,40.16,52.72,-67.12,,
Brackeys,TOP DOWN MOVEMENT in Unity!,https://www.youtube.com/watch?v=whzomFgjT50,Beginner Guides (Beginner Guides),1312437,2020-08-10,22:29,1349,-43.33,-6.72,-7.45,,
Brackeys,How to make a HEALTH BAR in Unity!,https://www.youtube.com/watch?v=BLfNP4Sc_iA,UI Canvas & HUD Design (UI Canvas & HUD Design),1297556,2020-08-10,21:05,1265,65.56,-37.65,-67.69,,
Pandemonium,Unity 2D Platformer for Complete Beginners - #1 PLAYER MOVEMENT,https://www.youtube.com/watch?v=TcranVQUQ5U,"Beginner Guides (Beginner Guides, 2D Physics & Movement)",1269289,2021-08-10,15:38,938,-42.94,81.36,22.67,,
Brackeys,SAVE & LOAD SYSTEM in Unity,https://www.youtube.com/watch?v=XOjd_qU2Ido,Beginner Guides (Beginner Guides),1240940,2019-08-11,18:20,1100,-23.07,25.55,22.15,,
TJ,2 Years of Learning Game Development in Unity | My devlog progress,https://www.youtube.com/watch?v=8fcy0_FQ_OA,Beginner Guides (Beginner Guides),1227775,2022-08-10,15:21,921,-40.14,54.28,-27.16,,
JLPM,Complete Unity 2D Tutorial from Scratch,https://www.youtube.com/watch?v=GbmRt0wydQU,"Beginner Guides (Beginner Guides, 2D Physics & Movement)",1205797,2021-08-10,49:34,2974,-34.12,80.14,9.76,,
Sebastian Lague,Coding Adventure: Ray Marching,https://www.youtube.com/watch?v=Cp5WWtMoeKg,C# Programming & Logic (C# Programming & Logic),1197976,2019-08-11,05:05,305,105.2,-10.98,-2.51,,
Sebastian Lague,Coding Adventure: Rendering Text,https://www.youtube.com/watch?v=SO83KQuuZvg,Beginner Guides (Beginner Guides),1187021,2024-08-09,01:10:54,4254,-68.0,4.92,40.26,,
Sebastian Lague,Procedural Landmass Generation (E01: Introduction),https://www.youtube.com/watch?v=wbpMiKiSKm8,Beginner Guides (Beginner Guides),1149422,2016-08-11,03:27,207,-100.59,-37.68,13.19,,
NathanOnDev,I Made my First Game in 24 HOURS,https://www.youtube.com/watch?v=dxIDOSqqvqE,Beginner Guides (Beginner Guides),1142830,2021-08-10,06:04,364,-62.67,19.65,-9.04,,
Brackeys,FINISHING UP - How to make a Video Game in Unity (E10),https://www.youtube.com/watch?v=r5NWZoTSjWs,Beginner Guides (Beginner Guides),1109916,2017-08-11,09:35,575,-39.06,0.31,-48.08,,
Brackeys,Introduction to AUDIO in Unity,https://www.youtube.com/watch?v=6OT43pvUyfY,Beginner Guides (Beginner Guides),1072723,2017-08-11,14:26,866,-49.89,31.25,19.59,,
byte of michael,3 Months of Learning Game Development,https://www.youtube.com/watch?v=x5wndRdBowo,Beginner Guides (Beginner Guides),1069902,2022-08-10,10:47,647,-45.35,54.21,-43.79,,
Brackeys,SCRIPTABLE OBJECTS in Unity,https://www.youtube.com/watch?v=aPXvoWVabPY,Beginner Guides (Beginner Guides),1067253,2018-08-11,08:57,537,-19.97,5.89,50.47,,
Brackeys,Everything to know about the PARTICLE SYSTEM,https://www.youtube.com/watch?v=FEA1wTMJAR0,VFX & Particles (VFX & Particles),1055631,2018-08-11,10:08,608,21.25,-63.77,53.48,,
Brackeys,Basics of Shader Graph - Unity Tutorial,https://www.youtube.com/watch?v=Ar9eIn4z6XE,"Beginner Guides (Beginner Guides, Shader Graph & Shaders)",1053636,2018-08-11,12:29,749,24.18,-42.6,5.83,,
Code Monkey,Learn C# BASICS in 10 MINUTES!,https://www.youtube.com/watch?v=IFayQioG71A,Beginner Guides (Beginner Guides),1031359,2020-08-10,10:54,654,-30.16,-3.29,-95.37,,
Brackeys,MAKING YOUR FIRST LEVEL in Unity with ProBuilder!,https://www.youtube.com/watch?v=YtzIXCKr8Wo,Beginner Guides (Beginner Guides),1004446,2020-08-10,16:38,998,-29.01,-34.06,-48.89,,
Charger Games,Learn C# Scripting for Unity in 15 Minutes (2025 Working),https://www.youtube.com/watch?v=9tMvzrqBUP8,C# Programming & Logic (C# Programming & Logic),1003387,2020-08-10,15:14,914,56.13,-33.4,13.85,,
Brackeys,Make your Characters Interactive! - Animation Rigging in Unity,https://www.youtube.com/watch?v=Htl7ysv10Qs,Animator & State Machines (Animator & State Machines),998254,2020-08-10,16:19,979,39.12,17.1,109.57,,
Brackeys,How to make a Dialogue System in Unity,https://www.youtube.com/watch?v=_nRzoTzeyxU,Beginner Guides (Beginner Guides),983011,2017-08-11,16:19,979,-27.54,3.19,-21.64,,
