autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
Patrick Loeber,I built the same model with TensorFlow and PyTorch | Which Framework is better?,https://www.youtube.com/watch?v=ay1E1f8VqP8,Machine Learning (Machine Learning),157217,2022-08-10,13:33,813,32.79,67.65,-76.39,,
John Elder,Create a Basic Neural Network Model - Deep Learning with PyTorch 5,https://www.youtube.com/watch?v=JHWqWIoac2I,"Beginner Guides (Beginner Guides, Machine Learning)",156339,2023-08-10,15:39,939,-7.05,113.67,-20.11,,
Nicholas Renotte,Python for Data Science | Beginner Friendly Full Course in 5 Hours,https://www.youtube.com/watch?v=yGN28LY5VuA,"Beginner Guides (Beginner Guides, Data Science)",156222,2022-08-10,05:45:18,20718,-57.72,67.22,64.53,,
Amit Thinks,Python Pandas Full Course | Learn in 6 hours | Pandas for Data Science and Analysis | Amit Thinks,https://www.youtube.com/watch?v=yFoVs3_wvPo,"Beginner Guides (Beginner Guides, Data Science)",156123,2024-08-09,05:52:50,21170,-57.64,36.63,68.63,,
Lex Clips,PyTorch vs TensorFlow | Ishan Misra and Lex Fridman,https://www.youtube.com/watch?v=cLLsc4Hlo-8,Machine Learning (Machine Learning),155862,2021-08-10,03:47,227,12.75,76.23,-84.15,,
freeCodeCamp.org,Learn Drone Programming with Python – Tutorial,https://www.youtube.com/watch?v=k-yDYgc8AmU,Beginner Guides (Beginner Guides),154121,2026-04-11,01:47:41,6461,57.87,-50.94,-28.74,,
Fuji Codes,I Automated YouTube Shorts with Python,https://www.youtube.com/watch?v=mkZsaDA2JnA,Beginner Guides (Beginner Guides),154079,2024-08-09,03:30,210,74.59,-23.95,-10.87,,
Telusko,#1 FastAPI - Python Web Framework,https://www.youtube.com/watch?v=02dzgC_Ba70,"Machine Learning (Machine Learning, Web Backend)",153142,2025-09-13,06:55,415,-35.62,86.44,-94.82,,
Rishabh Mishra,Complete Python Pandas Data Science Tutorial,https://www.youtube.com/watch?v=_BA5kFO7w44,Data Science (Data Science),151848,2026-02-10,01:13:53,4433,0.21,53.95,72.99,,
freeCodeCamp.org,Learn PyTorch in 5 Projects – Tutorial,https://www.youtube.com/watch?v=E0bwEAWmVEM,Machine Learning (Machine Learning),145037,2025-08-09,05:48:32,20912,6.71,74.61,-69.34,,
PedroTech,Python Django REST API In 30 Minutes - Django Tutorial,https://www.youtube.com/watch?v=NoLF7Dlu5mc,"Beginner Guides (Beginner Guides, Web Backend)",143120,2024-08-09,30:42,1842,-80.51,-13.92,14.75,,
Pythonology,Web Scraping to CSV | Multiple Pages Scraping with BeautifulSoup,https://www.youtube.com/watch?v=MH3641s3Roc,"Web Scraping & Automation (Web Scraping & Automation, Script Utilities)",142744,2023-08-10,29:05,1745,-52.81,-6.24,-64.14,,
Patrick Loeber,FastAPI Introduction - Build Your First Web App - Python Tutorial,https://www.youtube.com/watch?v=0RS9W8MtZe4,"Beginner Guides (Beginner Guides, Web Backend)",140541,2021-08-10,11:56,716,-99.27,0.81,0.65,,
Nicholas Renotte,Build a Deep Learning Model that can LIP READ using Python and Tensorflow | Full Tutorial,https://www.youtube.com/watch?v=uKyojQjbx4c,Machine Learning (Machine Learning),138755,2023-08-10,01:14:22,4462,22.92,56.0,-57.26,,
ArjanCodes,Anatomy of a Scalable Python Project (FastAPI),https://www.youtube.com/watch?v=Af6Zr0tNNdE,Web Backend (Web Backend),138066,2025-10-13,21:16,1276,-67.91,-69.48,24.09,,
Pooja Dutt,I Tried 50 Python Courses. Here Are Top 5.,https://www.youtube.com/watch?v=lsqJn0DU5wI,Beginner Guides (Beginner Guides),137360,2025-08-09,09:41,581,61.85,-24.82,-24.33,,
freeCodeCamp Español,Web Scraping con Python - Curso con Beautiful Soup,https://www.youtube.com/watch?v=yKi9-BfbfzQ,Web Scraping & Automation (Web Scraping & Automation),136541,2024-08-09,01:40:19,6019,-79.8,-80.94,-82.47,,
