autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,latent_x,latent_y,latent_z
Ben Marriott,Learn After Effects in 10 Minutes! Beginner Tutorial,https://www.youtube.com/watch?v=hb2bbfiNBXA,Beginner Guides (Beginner Guides),5538820,2020-08-10,57.33,33.61,-25.88
Video Copilot,New Plug-in: SABER + Tutorial! 100% Free,https://www.youtube.com/watch?v=reSXGxkyr0k,3D Space & Camera Animations (3D Space & Camera Animations),4015502,2016-08-11,-94.97,-12.92,-21.69
SonduckFilm,4 Great Motion Graphics Techniques in After Effects,https://www.youtube.com/watch?v=9bnOVV3EBC8,Motion Graphics & Shape Layers (Motion Graphics & Shape Layers),3207687,2019-08-11,-28.04,66.76,37.6
Video Copilot,Crossfire Particle FX Tutorial! 100% After Effects! + LIVE Tour!,https://www.youtube.com/watch?v=g5O0U8ck2GU,Beginner Guides (Beginner Guides),3043127,2019-08-11,47.54,-39.49,44.87
Video Copilot,Advanced 3D Light Rays in After Effects!,https://www.youtube.com/watch?v=frXQxwMKh6c,3D Space & Camera Animations (3D Space & Camera Animations),2616104,2014-08-12,-91.82,24.03,-21.01
Ben Marriott,Illustrator to After Effects ft. Burnt Toast - Animation Workflow & Tutorial,https://www.youtube.com/watch?v=WSwkvZVvsj0,Beginner Guides (Beginner Guides),2537307,2019-08-11,112.7,-11.03,5.63
Motion Science,"After Effects 3D Camera Tutorial: Complete Guide to Motion, Depth & Control",https://www.youtube.com/watch?v=zgMHWFolli8,3D Space & Camera Animations (3D Space & Camera Animations),2319557,2017-08-11,-91.41,32.32,-59.14
Jack Cole,Learn EVERYTHING about After Effects | TUTORIAL,https://www.youtube.com/watch?v=sbnh8-T2wn4,Beginner Guides (Beginner Guides),2164617,2020-08-10,45.4,14.35,-12.82
CINE 24 VFX,chroma key after effects - Perfect green screen in 5 minutes,https://www.youtube.com/watch?v=VA2yvv_JLIE,VFX & Green Screen Keying (VFX & Green Screen Keying),2108011,2019-08-11,-41.18,-50.62,33.65
Video Copilot,Advanced Electric FX Tutorial! 100% After Effects!,https://www.youtube.com/watch?v=yxncS9gVDYI,Beginner Guides (Beginner Guides),2088241,2017-08-11,57.29,-34.19,29.4
Envato Tuts+,After Effects for Beginners | FREE Mega Course,https://www.youtube.com/watch?v=PWvPbGWVRrU,Beginner Guides (Beginner Guides),2027032,2020-08-10,96.29,41.11,-8.84
Video Copilot,Colorful Glitch FX Tutorial! 100% After Effects!,https://www.youtube.com/watch?v=3Rc0dNDzbuM,Beginner Guides (Beginner Guides),1979588,2018-08-11,39.02,-30.23,27.14
Video Copilot,Shockwave Tutorial 100% in After Effects!,https://www.youtube.com/watch?v=JYbgjCR8PMI,Beginner Guides (Beginner Guides),1962130,2014-08-12,42.73,-16.21,8.13
Video Copilot,Ultra 3D Earth Tutorial! + Free ORB Plug-in! 100% After Effects!,https://www.youtube.com/watch?v=iT12Q9O-Q30,3D Space & Camera Animations (3D Space & Camera Animations),1882250,2019-08-11,-87.46,2.89,-18.78
