autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z,categoria_principal,tags
Envato Tuts+,Premiere Pro Tutorial | FREE COURSE,https://www.youtube.com/watch?v=KfPIp-G1bpY,Beginner Guides (Beginner Guides),1557975,2019-08-11,03:13:18,11598,-54.69,22.13,7.93,,
Cinecom.net,The Complete COLOR GRADING Tutorial for Premiere Pro: CINEMATIC FILM LOOK  | Cinecom.net,https://www.youtube.com/watch?v=_m-9R1oqvh0,"Video Editing & Cutting (Video Editing & Cutting, Color Grading & Lumetri)",1498384,2017-08-11,19:29,1169,46.81,-48.93,-0.91,,
Cinecom.net,5 FAST & EASY CREATIVE EFFECTS in Premiere Pro  #02,https://www.youtube.com/watch?v=oJ5UmP38Imk,Video Editing & Cutting (Video Editing & Cutting),1484355,2019-08-11,06:32,392,91.34,28.0,-8.89,,
Jack Cole,Learn EVERYTHING about Premiere Pro | TUTORIAL,https://www.youtube.com/watch?v=seP6Yqx4BaY,Beginner Guides (Beginner Guides),1482997,2019-08-11,04:53:36,17616,-44.96,0.93,3.54,,
Peter McKinnon,How I make a video - START TO FINISH!,https://www.youtube.com/watch?v=blzp1mJffEU,Beginner Guides (Beginner Guides),1461038,2018-08-11,15:51,951,-59.37,-45.54,-6.71,,
Peter McKinnon,"MOTION BLUR RAMPING! Little details, make BIG impacts!",https://www.youtube.com/watch?v=xEVee3bIaL4,Beginner Guides (Beginner Guides),1418177,2018-08-11,10:52,652,-44.53,-19.95,-18.3,,
Premiere Basics,How To Make Your VOICE Sound CINEMATIC (Premiere Pro),https://www.youtube.com/watch?v=F5DJP4WKtzM,Beginner Guides (Beginner Guides),1375289,2022-08-10,06:17,377,-57.29,-37.37,-43.81,,
Think Media,Adobe Premiere Pro Tutorial: How To Start For Beginners,https://www.youtube.com/watch?v=fgH-aw7tkng,Beginner Guides (Beginner Guides),1366492,2020-08-10,08:45,525,-54.66,-33.41,6.03,,
Premiere Gal,"Slow Motion, Speed Ramp and Freeze Frames | Adobe Premiere Pro CC Tutorial",https://www.youtube.com/watch?v=VI2BC45s81g,Transitions & Ramping (Transitions & Ramping),1318465,2018-08-11,09:44,584,22.08,8.6,-58.34,,
Matias Toledo,Learn Video Editing in 10 Minutes with Premiere Pro (Basic Tutorial),https://www.youtube.com/watch?v=UkYnnV_aYFQ,"Beginner Guides (Beginner Guides, Video Editing & Cutting)",1296453,2019-08-11,10:38,638,-64.42,15.73,35.73,,
Learn Skills Daily,Premiere Pro Full Course Tutorial (6+ Hours),https://www.youtube.com/watch?v=eCsM0r3RNc4,Beginner Guides (Beginner Guides),1233752,2023-08-10,06:09:58,22198,-58.88,28.35,-6.55,,
Adobe Video,Learn Adobe Premiere Pro Start to Finish | 2 Hour Workshop w/ Valentina Vee | Adobe Video,https://www.youtube.com/watch?v=oLMdXC_B1vQ,Beginner Guides (Beginner Guides),1229827,2024-08-09,02:26:44,8804,-67.91,-50.28,7.13,,
Cinecom.net,Editing Magic: Playing With TIME (Premiere Pro Tutorial),https://www.youtube.com/watch?v=7YPgb63dbOg,Video Editing & Cutting (Video Editing & Cutting),1178699,2021-08-10,11:05,665,61.43,43.13,17.54,,
Cinecom.net,Fall through the ground (Kendrick Lamar - LOYALTY) Premiere Pro Tutorial,https://www.youtube.com/watch?v=pinoZtX-imw,Video Editing & Cutting (Video Editing & Cutting),1177146,2017-08-11,04:00,240,-77.47,3.28,56.64,,
Cinecom.net,5 EDITING & CAMERA HACKS,https://www.youtube.com/watch?v=zex13UEaDQc,Video Editing & Cutting (Video Editing & Cutting),1164994,2018-08-11,04:56,296,93.76,-25.57,20.65,,
Video School,Titles and Essential Graphics Tutorial in Adobe Premiere Pro CC,https://www.youtube.com/watch?v=WgPC5qum4Zc,Titles & Graphics (Titles & Graphics),1153621,2017-08-11,21:57,1317,-18.78,-26.71,97.98,,
Cinecom.net,Modern LOGO ANIMATION in Adobe PREMIERE PRO | Cinecom.net,https://www.youtube.com/watch?v=eDbJCI6gRiM,Video Editing & Cutting (Video Editing & Cutting),1123005,2017-08-11,11:39,699,23.17,11.44,19.06,,
Peter McKinnon,THE BOWL - A film by Peter McKinnon,https://www.youtube.com/watch?v=HetzwxXCO4E,Beginner Guides (Beginner Guides),1117823,2018-08-11,05:08,308,-104.58,-15.15,-36.61,,
Premiere Basics,How to Create TEXT ANIMATIONS (Premiere Pro Tutorial),https://www.youtube.com/watch?v=ysYADreX6U4,"Beginner Guides (Beginner Guides, Titles & Graphics)",1107263,2022-08-10,07:59,479,-52.79,-48.67,49.26,,
Peter McKinnon,How to Vlog,https://www.youtube.com/watch?v=uCj9ldJThP8,Beginner Guides (Beginner Guides),1070527,2017-08-11,09:05,545,-49.46,-0.54,-20.52,,
